Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Lardon Construction - Blasdell,202 Lake Avenue,,Blasdell,NY,14219,Erie,9,7168224642,Jonathan G. Palmer,Private,C&D processing - registration,[15W37],Yes,186433,4745461,4.2 - Utilization of GIS and existing spatial data,Wood (Pallets & Crates);Wood (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Wood (Unadulterated Pallets),15W37,10/10/2002,,"202 Lake Avenue
Blasdell, NY 14219
(42.797713, -78.834708)"
Casings Inc,1811 Harrison Ave,,Bayshore,NY,11706,Suffolk,1,5189439404,Casing Inc.,Private,Waste tire storage - permit,[52K08],Yes,644827,4514466,4.3 - Utilization of Digital Orthophoto Quads,Waste Tires;Tire,1-4728-04495/00001,05/08/2017,05/07/2022,"1811 Harrison Ave
Bayshore, NY 11706
(40.767666, -73.284447)"
Petro Recycling LLC (290East 132Street),290 East 132 Street,,Bronx,NY,10454,Bronx,2,9147778292,Petro Recycling LLC,Private,C&D processing - registration,[03W81],Yes,590357,4517827,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt;Rock;Soil (Clean),03W81,,,"290 East 132 Street
Bronx, NY 10454
(40.806785, -73.929359)"
Wiley Trash Removal,291 Kingsley Road,,Massena,NY,13662,St. Lawrence,6,3157640038,Greg Wiley,Private,RHRF - 5 tpd or less - registration,[45R10011],Yes,505695,4976261,4.1 - Address Matching,Paperboard/Boxboard;Single Stream;Commingled Paper,45R10011,11/16/2019,11/15/2024,"291 Kingsley Road
Massena, NY 13662
(44.939339, -74.927564)"
Half Hollow Nursery Inc.   (2120 Main Rd.),2120 Main Road,,Laurel,NY,11948-0536,Suffolk,1,,Half Hollow Nursery inc,Private,Composting - yard waste  - registration,[52Y59R],Yes,705240,4538173,1 - No accuracy stated,Yard Waste,52Y59R,01/17/2006,,"2120 Main Road
Laurel, NY 11948-0536
(40.969013, -72.561001)"
Heuvelton (Village) Land Application Facility,Various fields in Oswegatchie (T) and Heuvelton (V),,Oswegatchie (T)/Heuvelton (V),NY,13654,St. Lawrence,6,3153442214,Village of Heuvelton,Municipal,Land application - biosolids/septage/other - permit,[45L01],Yes,476349,4919992,4.1 - Address Matching,Biosolids,6-4064-00008/00004,08/27/2015,08/25/2020,
Munter Pit Land Clearing Debris Landfill,881 Murray Road,,Middle Grove,NY,12850,Saratoga,5,5185846174,Munter Enterprises,Private,Landfill - land clearing debris,[46D22],Yes,588905,4769666,,Land Clearing Debris,46D22,05/14/2002,,"881 Murray Road
Middle Grove, NY 12850
(43.074247, -73.907366)"
Bristol Hill RHRF,3125 State Rte. 3,,Fulton,NY,13069,Oswego,7,3155922250,Oswego County DSW,Municipal,RHRF - greater than 5 tpd - registration,[38R20002],Yes,390986,4799434,4.3 - Utilization of Digital Orthophoto Quads,Source Separated Recyclables (Metal/Glass/Paper/Plastic),38R20002,02/20/2019,02/20/2024,"3125 State Rte. 3
Fulton, NY 13069
(43.339737, -76.344947)"
Ternoois Septic Tank Service,6022 Buerman Road,,Sodus,NY,14551,Wayne,8,3154839356,Frank Ternoois,Private,Land application - septage - registration,[59A41008],Yes,333874,4785925,1 - No accuracy stated,Septage,59A41008,11/19/2017,11/18/2022,"6022 Buerman Road
Sodus, NY 14551
(43.22349, -77.038025)"
Button Road Mine Site,Button Road,,Halfmoon,NY,12065,Saratoga,5,5183556034,Carver Sand & Gravel; LLC,Private,C&D processing - registration,[46W08],Yes,606091,4744279,,Brick;Concrete;Asphalt;Soil (Clean);Rock,46W08,06/26/2017,,
Sheesley's Sewer Service,Latta Brook Rd.,,Breesport,NY,149816,Chemung,8,6077331862,Nina Sheesley,,Land application - biosolids/septage/other - permit,[08AP0007],Yes,349625,4666283,4.3 - Utilization of Digital Orthophoto Quads,,8-0743-00033/00006,02/14/2020,02/13/2025,
Vigliotti Recycling Corp Yard Waste Transfer Facility,100 Urban Avenue,,Westbury,NY,11590,Nassau,1,5163346600,Vigliotti Recycling Corp.,Private,Transfer facility - permit,[30MP0144],Yes,1,1,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Unadulterated),,,,"100 Urban Avenue
Westbury, NY 11590
(40.758552, -73.563452)"
Liotta Brothers Recycling Corp,4014 Daly Boulevard,,Oceanside,NY,11572,Nassau,1,5168550235,Patrick Liotta; Jr.,Private,CDDHRF - permit,[30W08],Yes,614027,4497512,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Wood (Unadulterated);Asphalt;Brick;Concrete;Soil (Clean);Street Sweepings;Roofing Shingles,1-2820-04489/00001,06/12/2019,06/11/2024,"4014 Daly Boulevard
Oceanside, NY 11572
(40.620442, -73.651216)"
Tarrytown (V) Yard Waste TS,Tower Hill Road,,Tarrytown,NY,10591,Westchester,3,9148621819,Village of Tarrytown,Municipal,Transfer facility - registration,[60T101],Yes,597105,4548811,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps),60R35,,05/08/2018,
Scofield Transfer and Recycling Inc,8620 Sanders Road,,Stafford,NY,14143,Genesee,8,5853437373,Bruce Scofield,Private,Transfer facility - permit,[19T07],Yes,247550,4764995,1 - No accuracy stated,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);Wood (Brush/ Branches/ Trees/ Stumps),8-1844-00019/00006,02/15/2011,02/14/2021,"8620 Sanders Road
Stafford, NY 14143
(42.99575, -78.095945)"
Cox Industries LLC Processing Facility,135 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6318139976,Cox Industries LLC,Private,CDDHRF - concrete rock brick - registration,[52C10354],Yes,111111,1111111,,Concrete;Brick;Rock,pending,,,"135 Old Northport Road
Kings Park, NY 11754
(40.871262, -73.270229)"
L & D Acquisition; LLC,1 Lake Niagara Lane,,Naples,NY,14512,Ontario,8,5855319000,L&D Acquisition; LLC / dba Hazlitt's Red Cat Cellars,Private,Land application - UFPW - registration,[35A30024],Yes,303100,4721700,4.2 - Utilization of GIS and existing spatial data,Non-recognizable Food Processing Waste,35A30024,06/02/2021,06/01/2026,"1 Lake Niagara Lane
Naples, NY 14512
(42.621482, -77.398169)"
Bayview Auto Wreckers Inc,3333 Richmond Terrace,,Staten Island,NY,10303,Richmond,2,7182736060,Delores Fanelli,Private,Vehicle Dismantling Facility,[7000107],Yes,570199,4499225,,,,,,"3333 Richmond Terrace
Staten Island, NY 10303
(40.640676, -74.167306)"
Cuba-Friendship Transfer Station,7912 County Route 20,,Friendship,NY,14739,Allegany,9,5852685415,Allegany County DPW,County,RHRF - 5 tpd or less - registration,[02R10017],Yes,236923,4677444,4.2 - Utilization of GIS and existing spatial data,Paperboard/Boxboard;Commingled Paper;Container Glass;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Plastic;Other - Batteries;Textiles,02R10017,10/07/2019,10/07/2024,
Beutel Recyclers,17950 County Route 63,,Watertown,NY,13601,Jefferson,6,3157884080,Ann Beutel,Private,VDF - large - registration,[23V50016],Yes,418484,4863238,4.1 - Address Matching,End of Life Vehicles,23V50016,05/20/2021,11/20/2024,"17950 County Route 63
Watertown, NY 13601
(43.916729, -76.015895)"
Niagara Metals LLC - Buffalo,761 Hertel Ave,,Buffalo,NY,14207,Erie,9,7168735849,Niagara Metals LLC,Private,Scrap metal processor - registration,[15V30055],Yes,183334,4762013,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,15V30055,07/01/2019,07/01/2024,"761 Hertel Ave
Buffalo, NY 14207
(42.94774, -78.881508)"
Chesterfield Transfer Station,Auger Lake Rd,,Chesterfield,NY,12944,Essex,5,5188349042,Essex County,County,RHRF - registration,[16R39],Yes,619930,4927123,,,16R39,,,
Hopewell (T) Rural Transfer,2716 County Rd 47,,Hopewell,NY,14424,Ontario,8,5853943850,Town of Hopewell,Municipal,Transfer facility - registration,[35T10018],Yes,321668,4752006,4.1 - Address Matching,MSW (Residential/Institutional & Commercial);Single Stream;Bulk Metal;Electronics,35T10018,10/20/2020,10/19/2025,"2716 County Rd 47
Hopewell, NY 14424
(42.899245, -77.183747)"
Fake's Auto Enterprise Inc,1131 Barker Road,,Dolgeville,NY,13329,Herkimer,6,3154298069,Edward Fake,Private,Motor vehicle repair shop - large - registration,[22V40007],Yes,517949,4770678,,End of Life Vehicles;Used Oil;Waste Tire;Lead-acid Batteries,22V40007,02/04/2020,02/03/2025,"1131 Barker Road
Dolgeville, NY 13329
(43.084716, -74.781763)"
Page's - 4805 Lockport Road,4805 Lockport Road,,Niagara Falls,NY,14305,Niagara,9,,James Page,Private,Vehicle Dismantling Facility,[32J20],Yes,173993,4781770,4.2 - Utilization of GIS and existing spatial data,,,,,"4805 Lockport Road
Niagara Falls, NY 14305
(43.118695, -79.007892)"
Pantomime Mixtures,3839 Ball Dimond Rd,,Hector,NY,14841,Schuyler,8,,Jesse Perlmutter,Private,Land application - UFPW - registration,[49A30014],Yes,347474,4708473,,Non-recognizable Food Processing Waste,49A30014,11/26/2019,11/26/2024,"3839 Ball Dimond Rd
Hector, NY 14841
(42.513145, -76.856633)"
Rigidized Metals,660 Ohio St,,Buffalo,NY,14203,Erie,9,7165784077,Rigidized Metals,Private,Composting - SSO - registration,[15P20009],Yes,184073,4752374,4 - GIS Assisted,Source Separated Organic Waste (SSOW),15P20009,07/22/2019,07/21/2024,"660 Ohio St
Buffalo, NY 14203
(42.857828, -78.866713)"
Almstead Nursery,905 NYS Rt. 66,,Claverack,NY,12534,Columbia,4,9147609810,Richard Almstead,,Composting - SSO - registration,[11P22801],Yes,605420,4680865,,Food Scraps,11P22801,03/07/2019,03/02/2024,"905 NYS Rt. 66
Claverack, NY 12534
(42.276205, -73.717036)"
Ben Weitsman of Rochester,80 Steel Street,,Rochester,NY,14606,Monroe,8,5852540360,Ben Weitsman of Rochester; LLC,Private,VDF - large - registration,[28V51003],Yes,283341,4782863,1 - No accuracy stated,End of Life Vehicles,28V51003,09/24/2020,09/23/2025,"80 Steel Street
Rochester, NY 14606
(43.16688, -77.665826)"
Organic Renewal LLC,Organic Recycling; Inc.,PO Box 544; 895 Pulaski Highway,Goshen,NY,10924,Orange,3,8456514177,Environmental Farms; LLC,,Composting - yard waste - permit,[36PP0001],Yes,550015,4576852,,Yard Waste,3-3330-00082/00005,08/24/2021,08/23/2026,
Potter Pit,3802 Cottage Bridge Road,,Scio,NY,14880,Allegany,9,7164746381,Same as Site Owner,,CDDHRF - concrete rock brick - registration,[02C10022],Yes,253555,4672027,4.2 - Utilization of GIS and existing spatial data,Concrete,02C10022,07/07/2020,07/07/2025,"3802 Cottage Bridge Road
Scio, NY 14880
(42.166338, -77.985794)"
American Recyclers Transfer Station,177 Wales Avenue,,Tonawanda,NY,14151,Erie,9,7166956720,John Battaglia,Private,RHRF - 5 tpd or less - registration,[15R10079],Yes,185550,4769896,4.2 - Utilization of GIS and existing spatial data,Electronics;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Used Oil Filters (drained),15R10079,04/01/2021,04/01/2026,"177 Wales Avenue
Tonawanda, NY 14151
(43.016679, -78.859554)"
Clarkie's Auto Salvage,191 Geyser Rd.,,Saratoga Springs,NY,12866,Saratoga,5,5185845376,Thomas Clark,Private,Scrap metal processor - registration,[46V30011],Yes,594374,4767066,,Scrap Metal - Non-ferrous,46V30011,01/30/2019,01/29/2024,"191 Geyser Rd.
Saratoga Springs, NY 12866
(43.050303, -73.83971)"
HP Hood LLC Arkport Div.,25 Hurlbut St.,,Arkport,NY,14807,Steuben,8,6072958700,HP Hood LLC,Private,Land application - UFPW - registration,[51A30003],Yes,277716,4696978,4.3 - Utilization of Digital Orthophoto Quads,Non-recognizable Food Processing Waste,51A30003,11/29/2017,11/28/2022,"25 Hurlbut St.
Arkport, NY 14807
(42.393729, -77.700723)"
Gernatt Asphalt Produts; Inc. - Hanover Plant,12670 Buffalo Road,,Irving,NY,14081,Chautauqua,9,7165490551,,,C&D processing - registration,[07W02],Yes,162995,4720411,4.2 - Utilization of GIS and existing spatial data,Brick;Concrete;Asphalt;Wood (Clean),07W02,02/14/2002,,"12670 Buffalo Road
Irving, NY 14081
(42.564777, -79.109821)"
Skyline LLC,54 Comsewogue Road,,East Setauket,NY,11733,Suffolk,1,6314034131,Louis J. Bove,Private,C&D processing - registration,[52W19R],Yes,661081,4533079,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Rock;Soil (Clean);Brick;Construction & Demolition Debris,52W19R,,,"54 Comsewogue Road
East Setauket, NY 11733
(40.933558, -73.082848)"
LBD Enterprises (Dairy Waste),1174 Fyler Road,,Kirkville,NY,13082,Madison,7,3156873196,LBD Enterprises; LLC,,Land application - UFPW - registration,[27A30011],Yes,433336,4771435,4 - GIS Assisted,Non-recognizable Food Processing Waste,27A30011,06/25/2020,10/08/2024,"1174 Fyler Road
Kirkville, NY 13082
(43.094874, -75.917688)"
Greiner Auto Parts,681 State Route 8,,Cold Brook,NY,13324,Herkimer,6,3158263707,Daniel Greiner,Private,VDF - large - registration,[22V50010],Yes,497605,4788880,,End of Life Vehicles,22V50010,02/04/2020,02/03/2025,"681 State Route 8
Cold Brook, NY 13324
(43.251311, -75.02978)"
Brooklyn Resource Recovery Inc,5811 Preston Court,,Brooklyn,NY,11236,Kings,2,7185316606,Robert Roscelli,Private,RHRF - exempt (non-VDF),[24m00],Yes,591071,4499245,1 - No accuracy stated,,,,,"5811 Preston Court
Brooklyn, NY 11236
(40.640377, -73.920824)"
Conag Placement Services CD Processor,12 Ruscitti Road,,New Windsor,NY,12550,Orange,3,8455620640,Robert A. Nannini,Private,C&D processing - registration,[36W12],Yes,580834,4593075,,Rock,36W12,09/22/2008,,"12 Ruscitti Road
New Windsor, NY 12550
(41.485318, -74.032226)"
Seward Valley Farm,145 Park Drive,,Fultonville,NY,12072,Montgomery,4,5182315608,Robert E. Rolle,Private,C&D processing - registration,[29W05],Yes,553533,4753679,,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Unadulterated);Wood (Chips),29W05,,,"145 Park Drive
Fultonville, NY 12072
(42.933867, -74.343986)"
Town of Trenton Transfer Station,224 Veteran's Way,,Trenton (T),NY,13304,Oneida,6,3158962615,Town of Trenton,Municipal,RHRF - 5 tpd or less - registration,[33R10025],Yes,484637,4789620,1 - No accuracy stated,Other Ferrous Scrap Metal;Single Stream,33R10025,07/29/2021,07/28/2026,"224 Veteran's Way
Trenton (T), NY 13304
(43.261247, -75.18742)"
Raimondo Brothers; Inc.,5866 Minoa Road,,Kirkville,NY,13082,Onondaga,7,3156373872,Gary Raimondo,Private,Composting - SSO - registration,[34P20052],Yes,418610,4767569,4.1 - Address Matching,Non-recognizable Food Processing Waste,34P20052,05/15/2018,05/15/2023,"5866 Minoa Road
Kirkville, NY 13082
(43.055826, -75.999722)"
Pond Materials Corp,2164 Pond Road,,Ronkonkoma,NY,11779,Suffolk,1,,Pond Materials Corp.,Private,C&D processing - registration,[52W188R],Yes,658625,4518117,,Asphalt;Brick;Concrete;Rock;Soil (Clean);Sand,52W188R,01/02/2015,,"2164 Pond Road
Ronkonkoma, NY 11779
(40.798801, -73.118642)"
Tri-City Recycling,201 Edison Avenue,,Schenectady,NY,12305,Schenectady,4,5183463445,Nathan D. Kelman,Private,RHRF - registration,[47M07],Yes,585288,4740454,4.2.1 - Utilization of GIS and Facility Mapping System,,,,,"201 Edison Avenue
Schenectady, NY 12305
(42.808528, -73.949112)"
Ephratah Transfer Station,5225 State Highway 29,,Ephratah,NY,12095,Fulton,5,5187365501,Fulton County,County,Transfer facility - registration,[18T10004],Yes,536837,4765508,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics,18T10004,07/02/2018,07/01/2023,
All Container Recovery Inc,21 Pine Aire Dr,,Bayshore,NY,11706,Suffolk,1,6314845638,Joseph Jacinto,Private,RHRF - greater than 5 tpd - registration,[52R20355],Yes,646651,4515391,4.3 - Utilization of Digital Orthophoto Quads,Commingled Containers;Plastic,52R20355,01/21/2022,01/20/2027,"21 Pine Aire Dr
Bayshore, NY 11706
(40.775892, -73.262218)"
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,WTHRF - permit,[32WP0010],Yes,176513,4791780,4.2 - Utilization of GIS and existing spatial data,Waste Tires,9-2924-00041/00006,08/06/2018,08/05/2028,"1445 Pletcher Road
Model City, NY 14107
(43.211376, -78.979848)"
Brown's Brewery,Baby Lane,,Hoosick,NY,12090,Rensselaer,4,5183654846,Garry Brown,,Land application - nonrecognizable food processing waste - registration,[42L01],Yes,635429,4753784,4.1 - Address Matching,Non-recognizable Food Processing Waste,42L01,07/27/2017,07/27/2022,
Southold Town Transfer Station,6155 Cox Lane,,Cutchogue,NY,11935,Suffolk,1,6317347685,Town of Southold,Municipal,Composting - yard waste - permit,[52PP0265],Yes,710472,4545365,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,1-4738-02967/00001,06/22/2021,06/21/2026,"6155 Cox Lane
Cutchogue, NY 11935
(41.032877, -72.498897)"
Goldwing Saab Parts; Inc.,2008 Route 11,,Hastings,NY,13076,Oswego,7,3153747761,Eric Stooks,Private,VDF - small - registration,[38V20011],Yes,406735,4803408,,End of Life Vehicles,38V20011,05/08/2019,05/07/2024,"2008 Route 11
Hastings, NY 13076
(43.377242, -76.152367)"
Wholesale Mulch & Sawdust; Inc.,3711 Waverly Road,,Owego,NY,13827,Tioga,7,6076872637,Philip Nestor,Private,Mulch processing - registration,[54M10016],Yes,392318,4660310,1 - No accuracy stated,Wood (Pallets & Crates);Wood (Clean);Wood (Unadulterated),54M10016,07/12/2018,07/11/2023,"3711 Waverly Road
Owego, NY 13827
(42.087375, -76.302251)"
International Paper Ticonderoga Mill Landfill,568 Shore Airport Road,,Ticonderoga,NY,12883,Essex,5,5185855300,International Paper Company,Private,Landfill - industrial waste monofill - permit,[16N18],Yes,627916,4860163,,Sludge (Paper mill),5-1548-00008/00005,03/01/2018,02/29/2028,"568 Shore Airport Road
Ticonderoga, NY 12883
(43.889211, -73.405758)"
July Auto Wrecking Inc.,20 First Ave,,Garden City Park,NY,11040,Nassau,1,5167460297,Barbara Walsh,Private,VDF - large - registration,[30V50127],Yes,612243,4510234,1 - No accuracy stated,Lead-acid Batteries;Used Tire;Used Oil,30J0126,01/28/2020,01/27/2025,"20 First Ave
Garden City Park, NY 11040
(40.735371, -73.670873)"
Regal Recycling Inc,172-06 Douglas Avenue,,Jamaica,NY,11433,Queens,2,7185239330,Regal Recycling Company Inc,Private,C&D processing - permit,[41W49],Yes,602416,4506677,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Concrete;Soil (Clean);Wood (Clean);Metals (Ferrous);Metals (Non-Ferrous);Wood (Unadulterated),,06/03/2021,05/19/2025,"172-06 Douglas Avenue
Jamaica, NY 11433
(40.704998, -73.78525)"
Hamilton Transfer Station,7638 Cranston Road,,Hamilton,NY,13346,Madison,7,3156915700,Madison County Dept. of Solid Waste,Municipal,RHRF - greater than 5 tpd - registration,[27R20008],Yes,459767,4737122,,Single Stream,27R20008,11/27/2018,11/26/2023,"7638 Cranston Road
Hamilton, NY 13346
(42.785942, -75.491508)"
Queensbury Transfer Station (Luzerne Rd),64 Luzerne Road,,Queensbury,NY,12804,Warren,5,5187454478,Town of Queensbury,Municipal,Transfer facility - registration,[57T10001],Yes,607522,4795361,,MSW (Residential/Institutional & Commercial);White Goods,57T10001,08/06/2018,08/05/2023,"64 Luzerne Road
Queensbury, NY 12804
(43.302778, -73.674566)"
G Frederico Wrecking Co LLC,62 Bickford Street,,Rochester,NY,14615,Monroe,8,,G. Frederico Wrecking Co LLC,Private,CDDHRF - asphalt pavement and millings - registration,[28C20017],Yes,283180,4782910,4.2 - Utilization of GIS and existing spatial data,Asphalt,28C20017,05/31/2019,05/30/2024,"62 Bickford Street
Rochester, NY 14615
(43.167398, -77.667351)"
Chenango (T) Compost,Northgate WWTP,1256 Front Street,Binghamton,NY,13905,Broome,7,6076484809,Town of Chenango,Municipal,Composting - biosolids/other - permit,[04PP0013],Yes,429054,4662089,3 - Global Positioning System (GPS),Biosolids;Wood (Chips),7-0324-00042/00011,01/22/2013,01/21/2023,
Cortland County Recycling,137.5 South Pendleton Street,,Cortland,NY,13045,Cortland,7,6077568077,Cortland County,County,RHRF - greater than 5 tpd - registration,[12R20002],Yes,404239,4716322,3.3 - Hand-Held Unit (real-time;diff. corrected),Source Separated Recyclables (Metal/Glass/Paper/Plastic);Metals (Ferrous);Metals (Non-Ferrous);White Goods;Electronics;Waste Tires,12R20002,07/13/2018,05/04/2023,
